symbol,signal_date,status,entry_price,entry_date,exit_price,exit_date,exit_reason,return_percent,months_held,signal_high
RBLBANK,2025-07-01,Completed,276.25,2025-09-01,275.9,2025-10-01,End of Data,-0.13,1,271.89
ASIANPAINT,2025-07-01,Completed,2518.6,2025-08-01,2350.0,2025-09-01,Stop Loss,-6.69,1,2535.0
UPL,2024-07-01,Completed,591.9,2024-08-01,548.63,2024-10-01,Stop Loss,-7.31,2,574.04
PEL,2024-07-01,Completed,1033.5,2024-08-01,1051.08,2024-10-01,Stop Loss,1.7,2,1024.09
WHIRLPOOL,2024-06-01,Completed,2131.07,2024-07-01,1981.66,2024-10-01,Stop Loss,-7.01,3,2185.18
CROMPTON,2024-05-01,Completed,398.91,2024-06-01,412.58,2024-09-01,Stop Loss,3.43,3,403.53
BIOCON,2024-02-01,Completed,297.74,2024-04-01,315.68,2024-10-01,Stop Loss,6.03,6,306.27
SHILPAMED,2024-02-01,Completed,230.0,2024-03-01,354.42,2025-01-01,Stop Loss,54.1,10,227.12
INDUSTOWER,2024-01-01,Completed,252.8,2024-02-01,340.55,2024-10-01,Stop Loss,34.71,8,236.0
WHIRLPOOL,2023-09-01,Completed,1631.88,2023-10-01,1561.37,2023-11-01,Stop Loss,-4.32,1,1692.29
PNB,2023-09-01,Completed,91.97,2023-12-01,104.19,2024-09-01,Stop Loss,13.29,9,79.38
PEL,2023-07-01,Completed,1032.23,2023-08-01,955.84,2023-10-01,Stop Loss,-7.4,2,1093.08
SUNTV,2023-07-01,Completed,582.51,2023-08-01,592.37,2024-02-01,Stop Loss,1.69,6,523.69
LUPIN,2023-07-01,Completed,1086.3,2023-08-01,1604.29,2024-06-01,Target 1 - Red Doji,47.68,10,977.35
AUROPHARMA,2023-05-01,Completed,721.43,2023-06-01,1084.68,2024-03-01,Target 1 - Red Doji,50.35,9,657.55
UNIONBANK,2023-05-01,Completed,81.14,2023-07-01,117.56,2024-08-01,Stop Loss,44.89,13,71.84
JUSTDIAL,2023-05-01,Completed,738.7,2023-06-01,729.4,2023-09-01,Stop Loss,-1.26,3,725.0
GLENMARK,2023-04-01,Completed,594.46,2023-05-01,1526.86,2024-11-01,Target 1 - Red Doji,156.85,18,565.61
UNIONBANK,2022-12-01,Completed,80.95,2023-08-01,113.33,2024-10-01,Stop Loss,40.01,14,87.88
