Date,Stock_Ticker,Market_Cap,HA_Close,HA_Open,EMA_89_HA_Close,Breakout_Strength_Percent,Signal_High,Signal_Close,Regular_Close
2021-08-01,ITC,Large Cap,181.87,177.76,179.36,1.4,188.23,183.16,183.16
2020-12-01,SBIN,Large Cap,240.82,191.48,235.62,2.21,258.27,253.7,253.7
2019-05-01,BHARTIARTL,Large Cap,319.68,292.13,309.95,3.14,340.31,333.42,333.42
2020-12-01,LT,Large Cap,1158.01,934.16,1005.85,15.13,1273.05,1224.64,1224.64
2025-07-01,ASIANPAINT,Large Cap,2407.9,2293.85,2367.26,1.72,2535.0,2396.1,2396.1
2020-11-01,AXISBANK,Large Cap,556.07,458.17,520.82,6.77,637.34,599.1,599.1
2018-09-01,SUNPHARMA,Large Cap,600.3,535.73,575.81,4.25,633.24,580.99,580.99
2020-12-01,SUNPHARMA,Large Cap,527.65,469.67,506.81,4.11,569.29,562.54,562.54
2020-06-01,WIPRO,Large Cap,103.01,95.77,101.06,1.93,108.75,103.85,103.85
2019-03-01,NTPC,Large Cap,99.48,89.77,91.44,8.79,110.18,104.52,104.52
2021-03-01,NTPC,Large Cap,91.62,79.58,88.53,3.49,97.14,90.24,90.24
2019-04-01,ONGC,Large Cap,114.16,102.19,112.11,1.83,119.47,118.11,118.11
2021-09-01,ONGC,Large Cap,102.19,88.87,95.43,7.09,114.2,110.9,110.9
2019-05-01,COALINDIA,Large Cap,143.06,135.41,140.64,1.72,150.75,145.33,145.33
2021-10-01,COALINDIA,Large Cap,126.13,106.88,119.7,5.37,143.42,115.73,115.73
2022-02-01,COALINDIA,Large Cap,121.34,113.02,119.19,1.81,127.0,126.44,126.44
2022-08-01,INDUSINDBK,Large Cap,1041.25,882.57,1012.63,2.83,1086.68,1074.74,1074.74
2020-08-01,M&M,Large Cap,586.64,473.5,569.57,3.0,618.76,578.98,578.98
2019-12-01,TATASTEEL,Large Cap,36.97,32.88,35.96,2.81,39.97,39.61,39.61
2020-11-01,TATASTEEL,Large Cap,42.36,32.84,34.98,21.13,50.13,49.7,49.7
2018-09-01,APOLLOHOSP,Small Cap,1082.15,1023.91,1070.48,1.09,1173.23,1017.9,1017.9
2020-07-01,HEROMOTOCO,Small Cap,2243.1,1906.0,2142.22,4.71,2431.55,2255.27,2255.27
2022-05-01,HEROMOTOCO,Small Cap,2325.94,2152.26,2260.2,2.91,2510.13,2477.92,2477.92
2020-08-01,HINDALCO,Small Cap,170.97,142.03,165.9,3.06,195.05,177.87,177.87
2020-07-01,JSWSTEEL,Large Cap,192.27,176.26,190.06,1.16,207.9,206.31,206.31
2020-06-01,ADANIPORTS,Large Cap,329.0,290.16,302.21,8.86,349.46,333.83,333.83
2019-11-01,GRASIM,Small Cap,751.42,724.34,730.58,2.85,801.95,764.83,764.83
2020-10-01,GRASIM,Small Cap,749.06,650.69,709.47,5.58,785.96,760.89,760.89
2020-05-01,CIPLA,Small Cap,592.18,454.34,500.72,18.27,628.25,625.55,625.55
2018-11-01,DRREDDY,Small Cap,497.15,466.83,490.9,1.27,522.59,520.23,520.23
2019-10-01,EICHERMOT,Small Cap,1910.13,1648.32,1811.39,5.45,2145.39,2131.95,2131.95
2020-07-01,EICHERMOT,Small Cap,1879.96,1563.72,1797.26,4.6,2071.26,1967.7,1967.7
2021-02-01,TATAMOTORS,Large Cap,293.13,194.91,265.56,10.38,336.89,318.22,318.22
2020-12-01,VEDL,Large Cap,70.0,52.67,68.91,1.58,83.21,78.68,78.68
2020-06-01,UPL,Large Cap,400.08,385.21,391.67,2.15,441.34,399.27,399.27
2024-07-01,UPL,Large Cap,555.12,512.09,547.67,1.36,574.04,565.88,565.88
2021-01-01,GAIL,Small Cap,69.34,55.39,63.3,9.54,78.29,67.1,67.1
2021-05-01,IOC,Large Cap,51.65,46.25,50.15,2.99,58.38,56.1,56.1
