Date,Stock_Ticker,Market_Cap,HA_Close,EMA_89
2025-10-01,CIPLA,Mid Cap,1514.85,1070.29
2025-10-01,SBIN,Large Cap,869.61,540.05
2025-10-01,BHARTIARTL,Large Cap,1873.72,990.87
2025-10-01,TATAMOTORS,Mid Cap,704.49,547.41
2025-10-01,TITAN,Large Cap,3389.83,2424.66
2025-10-01,SUNPHARMA,Large Cap,1621.52,1103.1
2025-10-01,ADANIPORTS,Mid Cap,1411.27,856.61
2025-10-01,INFY,Large Cap,1441.2,1262.13
2025-10-01,POWERGRID,Large Cap,283.77,184.76
2025-10-01,MARUTI,Large Cap,15935.25,9215.51
2025-10-01,KOTAKBANK,Large Cap,2043.38,1664.65
2025-10-01,LT,Large Cap,3665.4,2369.09
2025-10-01,NTPC,Large Cap,340.85,213.41
2025-10-01,HDFCBANK,Large Cap,957.99,697.11
2025-10-01,GRASIM,Mid Cap,2769.77,1766.97
2025-10-01,NESTLEIND,Large Cap,1159.3,921.31
2025-10-01,WIPRO,Large Cap,240.42,203.97
2025-10-01,ULTRACEMCO,Large Cap,12132.25,7846.42
2025-10-01,AXISBANK,Large Cap,1156.0,869.35
2025-10-01,ITC,Large Cap,403.34,318.68
2025-10-01,HINDUNILVR,Large Cap,2523.37,2118.53
2025-10-01,RELIANCE,Large Cap,1366.25,1057.44
2025-10-01,JSWSTEEL,Mid Cap,1153.7,666.83
2025-09-01,INFY,Large Cap,1475.45,1257.98
2025-09-01,GRASIM,Mid Cap,2786.6,1743.76
2025-09-01,TCS,Large Cap,3016.62,2960.46
2025-09-01,NESTLEIND,Large Cap,1173.85,915.8
2025-09-01,MARUTI,Large Cap,15471.0,9060.0
2025-09-01,KOTAKBANK,Large Cap,1986.35,1655.89
2025-09-01,CIPLA,Mid Cap,1541.73,1060.0
2025-09-01,ULTRACEMCO,Large Cap,12480.0,7747.24
2025-09-01,LT,Large Cap,3642.82,2339.1
2025-09-01,JSWSTEEL,Mid Cap,1090.82,655.57
2025-09-01,HDFCBANK,Large Cap,954.84,691.07
2025-09-01,NTPC,Large Cap,332.36,210.46
2025-09-01,ADANIPORTS,Mid Cap,1374.08,843.77
2025-09-01,ITC,Large Cap,409.07,316.73
2025-09-01,WIPRO,Large Cap,245.9,203.12
2025-09-01,ASIANPAINT,Large Cap,2449.8,2371.34
2025-09-01,AXISBANK,Large Cap,1099.25,862.72
2025-09-01,SBIN,Large Cap,839.68,532.42
2025-09-01,POWERGRID,Large Cap,281.78,182.46
2025-09-01,TITAN,Large Cap,3510.28,2402.32
2025-09-01,SUNPHARMA,Large Cap,1602.35,1091.11
2025-09-01,BHARTIARTL,Large Cap,1903.55,970.43
2025-09-01,HINDUNILVR,Large Cap,2591.8,2109.16
2025-09-01,TATAMOTORS,Mid Cap,683.01,543.77
2025-09-01,RELIANCE,Large Cap,1370.65,1050.29
2025-08-01,GRASIM,Mid Cap,2763.6,1719.62
2025-08-01,POWERGRID,Large Cap,281.77,180.17
2025-08-01,ASIANPAINT,Large Cap,2467.4,2369.52
2025-08-01,RELIANCE,Large Cap,1376.0,1042.88
2025-08-01,HDFCBANK,Large Cap,980.71,684.97
2025-08-01,NESTLEIND,Large Cap,1139.39,909.83
2025-08-01,AXISBANK,Large Cap,1061.92,857.24
2025-08-01,WIPRO,Large Cap,247.9,202.13
2025-08-01,CIPLA,Mid Cap,1551.33,1048.85
2025-08-01,ULTRACEMCO,Large Cap,12456.5,7637.67
2025-08-01,TCS,Large Cap,3067.05,2959.16
2025-08-01,NTPC,Large Cap,329.64,207.64
2025-08-01,SBIN,Large Cap,805.69,525.31
2025-08-01,TITAN,Large Cap,3487.15,2376.67
2025-08-01,BHARTIARTL,Large Cap,1903.33,948.83
2025-08-01,HINDUNILVR,Large Cap,2607.75,2097.98
2025-08-01,TATAMOTORS,Mid Cap,666.85,540.55
2025-08-01,SUNPHARMA,Large Cap,1636.77,1079.27
2025-08-01,ADANIPORTS,Mid Cap,1342.83,831.5
2025-08-01,ITC,Large Cap,410.22,314.59
2025-08-01,INFY,Large Cap,1479.12,1252.95
2025-08-01,MARUTI,Large Cap,13462.29,8911.58
