signal_index,symbol,signal_date,market_cap,sector,status,signal_candle_high,entry_price,entry_date,entry_candle_index,exit_price,exit_date,exit_reason,months_held,total_return_percent,cagr_percent,cmgr_percent,max_high,max_high_date,drawdown_percent,stop_loss_price,target1_price,target2_price
0,BANARISUG,02-07-2012,Smallcap,FMCG,Completed,788.34,788.34,2012-08-01,3.0,793.08,2013-03-01,Target 2 - Below 21 EMA,7,0.6,1.03,0.09,965.88,2012-11-01,6.53,,,793.08
1,CESC,02-07-2012,Largecap,Power & Utilities,Completed,18.56,18.56,2012-08-01,3.0,16.59,2012-10-01,Stop Loss,2,-10.59,-48.91,-5.44,20.93,2012-10-01,12.98,16.59,,16.59
2,HINDPETRO,02-07-2012,Largecap,Energy,Completed,28.91,28.91,2013-01-01,8.0,24.15,2013-02-01,Stop Loss,1,-16.46,-88.44,-16.46,31.81,2013-01-01,17.25,24.15,24.15,24.15
3,GMBREW,02-07-2012,Smallcap,FMCG,Completed,29.87,29.87,2012-09-01,4.0,27.88,2012-10-01,Stop Loss,1,-6.68,-56.37,-6.68,33.9,2012-10-01,15.48,27.88,,25.11
4,VARDMNPOLY,02-07-2012,Smallcap,Textiles,Completed,8.49,8.49,2012-10-01,5.0,6.96,2012-11-01,Stop Loss,1,-18.07,-90.85,-18.07,10.3,2012-10-01,28.02,6.96,6.99,6.99
5,WILLAMAGOR,02-07-2012,Smallcap,Financials,Completed,60.85,60.85,2014-07-01,26.0,65.85,2015-05-01,Target 1 - Red Doji,10,8.22,9.94,0.79,84.35,2015-03-01,23.5,,65.85,
6,HERITGFOOD,02-07-2012,Smallcap,FMCG,Completed,21.57,21.57,2012-08-01,3.0,41.1,2013-10-01,Target 2 - Below 21 EMA,14,90.55,73.78,4.71,65.46,2013-01-01,9.57,,,41.1
7,DCMSHRIRAM,02-07-2012,Midcap,Miscellaneous,Completed,45.78,45.78,2012-08-01,3.0,42.03,2012-09-01,Stop Loss,1,-8.19,-64.14,-8.19,47.68,2012-08-01,12.71,42.03,53.14,41.79
8,TIPSMUSIC,02-07-2012,Midcap,Media,Completed,5.0,5.0,2012-10-01,5.0,4.87,2013-02-01,Stop Loss,4,-2.64,-7.7,-0.67,6.98,2013-01-01,10.36,4.87,4.87,4.87
9,MRPL,01-08-2012,Largecap,Energy,Completed,56.79,56.79,2012-10-01,4.0,51.52,2012-11-01,Stop Loss,1,-9.28,-68.93,-9.28,59.89,2012-10-01,15.72,51.52,51.9,49.9
10,LMW,01-08-2012,Midcap,Industrials,Completed,1897.88,1897.88,2012-09-01,3.0,1842.14,2013-02-01,Stop Loss,5,-2.94,-6.91,-0.59,2152.48,2013-01-01,7.85,1842.14,,1842.14
11,RAJSREESUG,01-08-2012,Smallcap,FMCG,Completed,58.89,58.89,2012-09-01,3.0,53.89,2012-10-01,Stop Loss,1,-8.5,-65.56,-8.5,61.64,2012-09-01,11.5,53.89,,49.72
12,VINDHYATEL,01-08-2012,Smallcap,Realty,Completed,197.12,197.12,2012-09-01,3.0,192.44,2012-10-01,Stop Loss,1,-2.37,-25.05,-2.37,213.32,2012-09-01,13.24,192.44,179.12,168.59
13,NEULANDLAB,01-08-2012,Midcap,Healthcare,Completed,122.85,122.85,2012-09-01,3.0,111.46,2012-12-01,Stop Loss,3,-9.27,-32.23,-3.19,181.79,2012-11-01,14.42,111.46,111.46,111.46
14,UNITDSPR,01-08-2012,Largecap,FMCG,No Data,,,,,,,No Data,0,0.0,0.0,0.0,,,0.0,,,
15,NTPC,01-08-2012,Largecap,Power & Utilities,Completed,90.93,90.93,2012-09-01,3.0,86.27,2012-10-01,Stop Loss,1,-5.12,-46.81,-5.12,91.3,2012-09-01,8.08,86.27,84.73,84.73
16,KCPSUGIND,01-08-2012,Smallcap,FMCG,Completed,16.47,16.47,2012-10-01,4.0,16.13,2013-02-01,Stop Loss,4,-2.04,-5.99,-0.51,21.83,2012-11-01,7.13,16.13,,16.13
17,LIQUIDBEES,01-08-2012,Smallcap,Indices,Completed,0.0,,2013-06-01,12.0,719.98,2015-07-01,End of Data,25,0.0,0.0,0.0,719.99,2015-07-01,-inf,,,
18,AEGISLOG,03-09-2012,Largecap,Services,No Data,,,,,,,No Data,0,0.0,0.0,0.0,,,0.0,,,
19,DHAMPURSUG,03-09-2012,Smallcap,FMCG,No Entry,60.15,,,,,,No Entry,0,0.0,0.0,0.0,,,0.0,,,
20,RELIANCE,03-09-2012,Largecap,Energy,Completed,184.58,184.58,2013-01-01,6.0,170.4,2013-02-01,Stop Loss,1,-7.68,-61.69,-7.68,199.95,2013-01-01,8.6,170.4,,170.4
21,TIRUMALCHM,03-09-2012,Smallcap,Chemicals,Completed,9.98,9.98,2012-10-01,3.0,8.93,2012-11-01,Stop Loss,1,-10.51,-73.62,-10.51,11.33,2012-10-01,17.22,8.93,,7.79
22,WSTCSTPAPR,03-09-2012,Smallcap,Building Materials,Completed,63.34,63.34,2012-10-01,3.0,72.79,2013-01-01,Target 1 - Red Doji,3,14.91,74.36,4.74,111.28,2012-12-01,14.85,56.59,72.79,56.59
23,VOLTAS,03-09-2012,Largecap,Consumer Discretionary,Completed,123.76,123.76,2014-02-01,19.0,257.21,2015-08-01,End of Data,18,107.83,62.86,4.15,336.75,2015-06-01,22.02,,,
