signal_index,symbol,signal_date,market_cap,sector,status,signal_candle_high,entry_price,entry_date,exit_price,exit_date,exit_reason,months_held,total_return_percent,cagr_percent,cmgr_percent,max_high,max_high_date,drawdown_percent,stop_loss_price,target1_price,target2_price
0,BANARISUG,02-07-2012,Smallcap,FMCG,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
1,CESC,02-07-2012,Largecap,Power & Utilities,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
2,HINDPETRO,02-07-2012,Largecap,Energy,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
3,GMBREW,02-07-2012,Smallcap,FMCG,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
4,VARDMNPOLY,02-07-2012,Smallcap,Textiles,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
5,WILLAMAGOR,02-07-2012,Smallcap,Financials,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
6,HERITGFOOD,02-07-2012,Smallcap,FMCG,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
7,DCMSHRIRAM,02-07-2012,Midcap,Miscellaneous,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
8,TIPSMUSIC,02-07-2012,Midcap,Media,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
9,MRPL,01-08-2012,Largecap,Energy,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
10,LMW,01-08-2012,Midcap,Industrials,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
11,RAJSREESUG,01-08-2012,Smallcap,FMCG,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
12,VINDHYATEL,01-08-2012,Smallcap,Realty,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
13,NEULANDLAB,01-08-2012,Midcap,Healthcare,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
14,UNITDSPR,01-08-2012,Largecap,FMCG,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
15,NTPC,01-08-2012,Largecap,Power & Utilities,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
16,KCPSUGIND,01-08-2012,Smallcap,FMCG,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
17,LIQUIDBEES,01-08-2012,Smallcap,Indices,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
18,AEGISLOG,03-09-2012,Largecap,Services,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
19,DHAMPURSUG,03-09-2012,Smallcap,FMCG,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
20,RELIANCE,03-09-2012,Largecap,Energy,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
21,TIRUMALCHM,03-09-2012,Smallcap,Chemicals,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
22,WSTCSTPAPR,03-09-2012,Smallcap,Building Materials,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
23,VOLTAS,03-09-2012,Largecap,Consumer Discretionary,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
24,GMBREW,03-09-2012,Smallcap,FMCG,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
25,VARDMNPOLY,03-09-2012,Smallcap,Textiles,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
26,ASAHIINDIA,03-09-2012,Largecap,Building Materials,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
27,ONWARDTEC,03-09-2012,Smallcap,I.T,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
28,HIKAL,03-09-2012,Smallcap,Healthcare,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
29,AUROPHARMA,03-09-2012,Largecap,Healthcare,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
30,SUVEN,03-09-2012,Smallcap,Healthcare,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
31,TVSMOTOR,03-09-2012,Largecap,Auto,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
32,BIOCON,03-09-2012,Largecap,Healthcare,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
33,KOTHARIPET,03-09-2012,Smallcap,Energy,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
34,ABREL,01-10-2012,Midcap,Realty,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
35,JINDALPOLY,01-10-2012,Smallcap,Textiles,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
36,SURYAROSNI,01-10-2012,Midcap,Industrials,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
37,WSTCSTPAPR,01-10-2012,Smallcap,Building Materials,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
38,FINPIPE,01-10-2012,Midcap,Plastic products,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
39,RUBYMILLS,01-10-2012,Smallcap,Textiles,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
40,SHIVATEX,01-10-2012,Smallcap,Textiles,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
41,BIL,01-10-2012,Smallcap,Consumer Discretionary,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
42,JUBLPHARMA,01-10-2012,Midcap,Healthcare,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
43,ARCHIES,01-10-2012,Smallcap,Consumer Discretionary,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
44,APARINDS,01-10-2012,Largecap,Industrials,Completed,,,,,,Stop Loss,0,0,0,0,,,0,,,
