signal_index,symbol,signal_date,market_cap,sector,status,signal_candle_high,entry_price,entry_date,exit_price,exit_date,exit_reason,months_held,total_return_percent,cagr_percent,cmgr_percent,max_high,max_high_date,drawdown_percent,stop_loss_price,target1_price,target2_price,signal_ha_close,signal_ha_open,ema_89_ha_close,regular_close,regular_open,regular_high,regular_low
33,WILLAMAGOR,01-12-2023,Smallcap,Financials,Completed,49.4,34.95,2023-12-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,36.41,27.32,33.14,34.95,30.75,49.4,30.55
43,RAJSREESUG,01-12-2021,Smallcap,FMCG,Completed,39.95,33.35,2021-12-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,29.69,25.07,28.32,33.35,23.4,39.95,22.05
25,BANARISUG,01-12-2020,Smallcap,FMCG,Completed,1508.28,1398.74,2020-12-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,1381.8,1280.74,1310.14,1398.74,1322.2,1508.28,1298.0
9,SUNPHARMA,01-12-2020,Largecap,Healthcare,Completed,569.29,562.54,2020-12-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,527.65,469.67,506.81,562.54,491.93,569.29,486.85
2,SBIN,01-12-2020,Largecap,Financials,Completed,258.27,253.7,2020-12-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,240.82,191.48,235.62,253.7,226.07,258.27,225.24
41,LMW,01-12-2020,Midcap,Industrials,Completed,4876.19,4516.16,2020-12-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,4405.26,3769.6,4098.81,4516.16,4206.08,4876.19,4022.61
4,LT,01-12-2020,Largecap,Industrials,Completed,1270.16,1221.86,2020-12-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,1155.38,914.34,985.02,1221.86,1081.79,1270.16,1047.73
26,HINDPETRO,01-12-2020,Largecap,Energy,Completed,126.08,117.2,2020-12-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,116.48,104.81,112.67,117.2,112.95,126.08,109.67
27,GMBREW,01-12-2019,Smallcap,FMCG,Completed,350.83,341.36,2019-12-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,330.09,311.27,315.5,341.36,328.63,350.83,299.53
28,GMBREW,01-11-2020,Smallcap,FMCG,Completed,357.83,326.74,2020-11-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,313.73,298.03,311.34,326.74,286.23,357.83,284.13
6,AXISBANK,01-11-2020,Largecap,Financials,Completed,637.34,599.1,2020-11-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,556.07,458.17,520.82,599.1,494.78,637.34,493.04
17,GRASIM,01-11-2019,Midcap,Materials,Completed,796.78,759.9,2019-11-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,746.58,719.67,725.87,759.9,742.18,796.78,687.44
18,GRASIM,01-10-2020,Midcap,Materials,Completed,780.9,755.99,2020-10-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,744.24,646.5,704.9,755.99,727.68,780.9,712.38
24,BANARISUG,01-09-2020,Smallcap,FMCG,Completed,1527.58,1273.23,2020-09-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,1327.15,1146.57,1309.19,1273.23,1274.74,1527.58,1233.07
21,CESC,01-09-2020,Largecap,Utilities,Completed,55.18,48.4,2020-09-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,49.48,46.75,48.16,48.4,47.34,55.18,47.01
38,TIPSMUSIC,01-09-2019,Midcap,Media,Completed,6.91,6.19,2019-09-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,5.88,5.25,5.69,6.19,5.28,6.91,5.15
8,SUNPHARMA,01-09-2018,Largecap,Healthcare,Completed,633.24,580.99,2018-09-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,600.3,535.73,575.81,580.99,614.13,633.24,572.83
1,ITC,01-08-2021,Largecap,FMCG,Completed,187.06,182.02,2021-08-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,180.74,176.65,177.7,182.02,177.85,187.06,176.04
5,ASIANPAINT,01-07-2025,Largecap,Materials,Completed,2535.0,2396.1,2025-07-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,2407.9,2293.85,2367.14,2396.1,2380.5,2535.0,2320.0
29,VARDMNPOLY,01-07-2021,Smallcap,Textiles,Completed,3.65,3.0,2021-07-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,2.67,1.94,2.6,3.0,2.03,3.65,1.99
42,RAJSREESUG,01-07-2021,Smallcap,FMCG,Completed,38.2,29.7,2021-07-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,32.28,23.1,28.53,29.7,33.05,38.2,28.15
15,JSWSTEEL,01-07-2020,Midcap,Materials,Completed,207.9,206.31,2020-07-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,192.27,176.26,190.06,206.31,178.26,207.9,176.62
48,NEULANDLAB,01-07-2020,Midcap,Healthcare,Completed,784.3,770.64,2020-07-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,657.94,440.57,599.93,770.64,573.94,784.3,502.86
34,WILLAMAGOR,01-06-2025,Smallcap,Financials,Completed,40.98,35.08,2025-06-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,34.28,30.56,33.8,35.08,31.07,40.98,30.0
35,HERITGFOOD,01-06-2021,Smallcap,FMCG,Completed,220.13,209.42,2021-06-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,189.56,164.28,177.88,209.42,165.97,220.13,162.74
37,DCMSHRIRAM,01-06-2020,Midcap,Miscellaneous,Completed,325.0,298.95,2020-06-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,288.58,258.72,266.46,298.95,265.65,325.0,264.71
10,WIPRO,01-06-2020,Largecap,Technology,Completed,108.75,103.85,2020-06-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,103.01,95.77,101.06,103.85,101.89,108.75,97.54
7,MARUTI,01-06-2020,Largecap,Automotive,Completed,5706.2,5545.76,2020-06-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,5399.31,5117.37,5354.08,5545.76,5404.89,5706.2,4940.39
16,ADANIPORTS,01-06-2020,Midcap,Infrastructure,Completed,349.46,333.83,2020-06-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,329.0,290.16,302.21,333.83,316.45,349.46,316.26
46,VINDHYATEL,01-05-2025,Smallcap,Realty,Completed,1686.56,1661.82,2025-05-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,1470.91,1404.21,1460.06,1661.82,1291.44,1686.56,1243.84
36,HERITGFOOD,01-05-2023,Smallcap,FMCG,Completed,214.59,211.51,2023-05-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,189.13,152.05,176.23,211.51,165.82,214.59,164.6
45,VINDHYATEL,01-05-2021,Smallcap,Realty,Completed,1097.3,1043.59,2021-05-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,917.84,794.27,796.9,1043.59,765.22,1097.3,765.22
