Date,Stock_Ticker,Market_Cap,HA_Close,HA_Open,EMA_89_HA_Close,Breakout_Strength_Percent,Signal_High,Signal_Close,Regular_Close
2024-02-01,BIOCON,Large Cap,277.47,254.02,271.83,2.07,306.27,275.75,275.75
2020-01-01,MOTHERSON,Large Cap,36.45,33.29,35.96,1.37,39.12,34.64,34.64
2020-12-01,MOTHERSON,Large Cap,41.31,31.54,34.21,20.75,44.15,43.99,43.99
2024-05-01,CROMPTON,Large Cap,353.94,287.69,302.65,16.95,403.53,386.06,386.06
2019-03-01,SIEMENS,Large Cap,602.85,568.7,581.42,3.69,644.97,640.31,640.31
2020-12-01,EXIDEIND,Small Cap,180.38,160.42,172.67,4.46,189.98,184.02,184.02
2022-11-01,EXIDEIND,Small Cap,174.25,156.48,169.28,2.94,187.15,185.67,185.67
2018-12-01,MFSL,Large Cap,437.5,418.66,429.83,1.78,453.95,446.0,446.0
2019-04-01,MFSL,Large Cap,435.44,416.86,428.87,1.53,474.5,417.65,417.65
2019-11-01,MFSL,Large Cap,459.17,419.74,428.75,7.1,521.1,504.9,504.9
2018-12-01,LICHSGFIN,Small Cap,407.71,391.72,393.06,3.73,436.56,427.77,427.77
2021-02-01,LICHSGFIN,Small Cap,390.42,328.49,367.72,6.17,444.86,392.01,392.01
2020-12-01,INDHOTEL,Large Cap,117.82,96.83,106.42,10.71,133.24,114.92,114.92
2018-08-01,RECLTD,Large Cap,49.13,47.63,48.18,1.97,51.16,50.45,50.45
2019-01-01,RECLTD,Large Cap,52.78,47.29,48.15,9.62,55.46,53.34,53.34
2020-11-01,RECLTD,Large Cap,56.24,50.89,52.35,7.43,61.69,60.62,60.62
2018-11-01,ADANIPOWER,Small Cap,10.19,6.31,7.83,30.21,11.5,11.1,11.1
2020-12-01,ADANIPOWER,Small Cap,9.56,7.43,8.55,11.74,12.79,9.96,9.96
2019-03-01,AMBUJACEM,Small Cap,200.93,188.76,192.67,4.29,212.94,210.31,210.31
2020-08-01,AMBUJACEM,Small Cap,195.98,176.15,188.54,3.95,209.04,189.84,189.84
2022-07-01,BANKBARODA,Large Cap,98.01,90.95,95.79,2.32,109.45,106.16,106.16
2022-08-01,CANBK,Large Cap,41.96,36.57,39.17,7.11,44.22,43.6,43.6
2023-09-01,PNB,Large Cap,69.25,55.72,63.64,8.82,79.38,77.03,77.03
2022-12-01,UNIONBANK,Large Cap,74.21,51.41,65.85,12.68,87.88,73.3,73.3
2023-05-01,UNIONBANK,Large Cap,67.04,64.62,65.91,1.72,71.84,64.82,64.82
2021-02-01,FEDERALBNK,Small Cap,75.72,62.42,68.86,9.97,84.31,79.86,79.86
2025-07-01,RBLBANK,Large Cap,257.43,209.0,234.44,9.81,271.89,265.86,265.86
2019-03-01,YESBANK,Large Cap,251.59,201.04,209.33,20.19,277.69,271.38,271.38
2022-12-01,IDBI,Large Cap,51.27,43.13,46.7,9.78,57.73,51.44,51.44
2021-10-01,BOSCHLTD,Small Cap,15610.63,13969.14,14759.75,5.76,17524.74,15998.09,15998.09
2022-07-01,BOSCHLTD,Small Cap,15292.94,13838.75,14760.07,3.61,16260.16,16152.39,16152.39
2021-02-01,CONCOR,Small Cap,491.78,398.34,426.63,15.27,581.94,543.77,543.77
2020-07-01,HINDZINC,Small Cap,121.78,104.22,114.14,6.7,130.71,127.17,127.17
2021-02-01,INDUSTOWER,Small Cap,221.28,199.94,216.21,2.35,248.48,226.63,226.63
2021-09-01,INDUSTOWER,Small Cap,253.67,214.27,218.62,16.03,314.64,291.85,291.85
2024-01-01,INDUSTOWER,Small Cap,212.89,185.53,206.02,3.34,236.0,221.95,221.95
