Date,Stock_Ticker,Market_Cap,HA_Close,HA_Open,EMA_89_HA_Close,Breakout_Strength_Percent,Signal_High,Signal_Close,Regular_Close
2025-07-01,RBLBANK,Small Cap,257.43,209.0,234.44,9.81,271.89,265.86,265.86
2025-07-01,ASIANPAINT,Small Cap,2407.9,2293.85,2367.26,1.72,2535.0,2396.1,2396.1
2024-07-01,UPL,Small Cap,555.12,512.09,547.67,1.36,574.04,565.88,565.88
2024-05-01,CROMPTON,Small Cap,353.94,287.69,302.65,16.95,403.53,386.06,386.06
2024-02-01,BIOCON,Small Cap,277.47,254.02,271.83,2.07,306.27,275.75,275.75
2024-01-01,INDUSTOWER,Small Cap,212.89,185.53,206.02,3.34,236.0,221.95,221.95
2023-12-01,PATANJALI,Small Cap,496.84,437.85,476.53,4.26,549.49,519.79,519.79
2023-12-01,SAMMAANCAP,Small Cap,352.37,155.51,273.74,28.72,865.59,190.76,190.76
2023-09-01,PNB,Small Cap,69.25,55.72,63.64,8.82,79.38,77.03,77.03
2023-08-01,NBCC,Small Cap,31.53,26.99,28.96,8.87,34.17,33.49,33.49
2023-07-01,LUPIN,Small Cap,926.8,776.03,874.93,5.93,977.35,970.89,970.89
2023-05-01,SUZLON,Small Cap,9.95,8.46,8.86,12.25,11.85,11.75,11.75
2023-05-01,AUROPHARMA,Small Cap,624.82,512.97,610.28,2.38,657.55,653.24,653.24
2023-05-01,UNIONBANK,Small Cap,67.04,64.62,65.91,1.72,71.84,64.82,64.82
2023-05-01,LTF,Small Cap,93.71,83.4,84.45,10.97,100.32,99.56,99.56
2023-05-01,INOXWIND,Small Cap,31.13,25.55,26.97,15.41,36.7,35.0,35.0
2023-04-01,GLENMARK,Small Cap,513.24,425.54,506.62,1.31,565.61,560.34,560.34
2022-12-01,MANAPPURAM,Small Cap,109.84,99.15,104.83,4.78,119.17,109.85,109.85
2022-12-01,SUZLON,Small Cap,10.25,8.22,8.84,15.98,12.15,10.6,10.6
2022-12-01,UNIONBANK,Small Cap,74.21,51.41,65.85,12.68,87.88,73.3,73.3
2022-11-01,EXIDEIND,Small Cap,174.25,156.48,169.28,2.94,187.15,185.67,185.67
2022-11-01,BHEL,Small Cap,77.36,61.16,68.15,13.52,84.26,83.12,83.12
2022-09-01,ZYDUSLIFE,Small Cap,367.99,353.65,360.78,2.0,379.31,378.04,378.04
2022-09-01,NCC,Small Cap,68.62,58.33,62.83,9.21,73.38,69.55,69.55
2022-08-01,INDUSINDBK,Small Cap,1041.25,882.57,1012.63,2.83,1086.68,1074.74,1074.74
2022-08-01,CANBK,Small Cap,41.96,36.57,39.17,7.11,44.22,43.6,43.6
