signal_index,symbol,signal_date,market_cap,sector,status,entry_price,entry_date,exit_price,exit_date,exit_reason,months_held,total_return_percent,cagr_percent,cmgr_percent,max_high,max_high_date,drawdown_percent,stop_loss_price,target1_price,target2_price
2400,KITEX,03-07-2023,Smallcap,Consumer Discretionary,Completed,65.55,2023-08-01,66.7,2023-10-01,Stop Loss,2,1.76,11.01,0.87,73.96,2023-10-01,12.92,66.7,,66.7
2401,VENKEYS,03-07-2023,Smallcap,FMCG,Completed,1950.17,2023-08-01,1929.2,2023-09-01,Stop Loss,1,-1.08,-12.17,-1.08,2284.75,2023-08-01,8.14,1929.2,,1929.2
2402,JMFINANCIL,03-07-2023,Midcap,Financials,Completed,74.8,2023-08-01,78.19,2023-10-01,Stop Loss,2,4.54,30.52,2.24,91.73,2023-09-01,7.54,78.19,,78.19
2403,PLASTIBLEN,03-07-2023,Smallcap,Chemicals,Completed,221.61,2023-08-01,256.9,2024-02-01,Stop Loss,6,15.92,34.38,2.49,348.96,2024-01-01,7.17,256.9,,256.9
2404,EMAMILTD,03-07-2023,Largecap,FMCG,Completed,506.02,2023-08-01,491.89,2023-10-01,Stop Loss,2,-2.79,-15.63,-1.41,562.65,2023-09-01,16.24,491.89,,491.89
2405,IOB,03-07-2023,Largecap,Bank,Completed,30.6,2023-08-01,54.46,2024-10-01,Stop Loss,14,77.97,63.9,4.2,83.75,2024-02-01,16.01,54.46,,54.46
2406,UNIONBANK,03-07-2023,Largecap,Bank,Completed,80.95,2023-08-01,117.56,2024-08-01,Stop Loss,12,45.23,45.23,3.16,162.55,2024-06-01,1.22,117.56,,117.56
2407,BAGFILMS,03-07-2023,Smallcap,Media,Completed,5.35,2023-08-01,9.75,2024-11-01,Target 1 - Red Doji,15,82.24,61.63,4.08,15.4,2024-01-01,14.02,8.15,9.75,8.15
2408,SUZLON,03-07-2023,Largecap,Industrials,Completed,24.55,2023-08-01,40.4,2024-03-01,Target 1 - Red Doji,7,64.56,134.88,7.38,50.6,2024-02-01,27.9,49.71,40.4,49.71
2409,ASMS,03-07-2023,Smallcap,I.T,Completed,11.0,2023-08-01,17.9,2024-03-01,Stop Loss,7,62.73,130.41,7.2,28.75,2024-02-01,11.36,17.9,,17.9
2410,JAGRAN,03-07-2023,Smallcap,Media,Completed,95.33,2023-08-01,88.39,2023-09-01,Stop Loss,1,-7.28,-59.64,-7.28,103.95,2023-08-01,12.71,88.39,,88.39
2411,TICL,03-07-2023,Smallcap,Realty,Completed,17.95,2023-08-01,44.92,2024-11-01,Target 1 - Red Doji,15,150.25,108.31,6.31,61.0,2024-06-01,0.0,31.02,44.92,31.02
2412,ASAHISONG,03-07-2023,Smallcap,Chemicals,Completed,230.35,2023-08-01,445.42,2024-09-01,Target 1 - Red Doji,13,93.37,83.8,5.2,585.5,2024-08-01,5.94,380.3,445.42,380.3
2413,PURVA,03-07-2023,Midcap,Realty,Completed,105.52,2023-08-01,292.85,2025-01-01,Stop Loss,17,177.52,105.55,6.19,569.6,2024-07-01,12.85,292.85,,292.85
2414,INDOWIND,03-07-2023,Smallcap,Power & Utilities,Completed,13.2,2023-08-01,13.55,2023-09-01,Target 1 - Red Doji,1,2.65,36.89,2.65,14.5,2023-08-01,6.44,19.7,13.55,19.7
2415,RANEENGINE,03-07-2023,Smallcap,Auto,No Data,,,,,No Data,0,0.0,0.0,0.0,,,0.0,,,
2416,DBCORP,03-07-2023,Smallcap,Media,Completed,204.96,2023-08-01,243.04,2024-03-01,Stop Loss,7,18.58,33.93,2.46,344.57,2024-01-01,8.95,243.04,,243.04
2417,PFS,03-07-2023,Smallcap,Financials,Completed,26.89,2023-08-01,38.55,2024-05-01,Stop Loss,9,43.38,61.67,4.08,67.95,2024-01-01,22.48,38.55,,38.55
2418,BROOKS,03-07-2023,Smallcap,Healthcare,Completed,97.75,2023-08-01,90.55,2023-09-01,Stop Loss,1,-7.37,-60.07,-7.37,114.0,2023-09-01,12.53,90.55,,90.55
2419,APLLTD,03-07-2023,Midcap,Healthcare,Completed,759.59,2023-08-01,697.35,2023-10-01,Stop Loss,2,-8.19,-40.13,-4.19,820.52,2023-10-01,8.95,697.35,,697.35
2420,VMART,03-07-2023,Midcap,Consumer Discretionary,Completed,557.35,2023-08-01,493.08,2023-09-01,Stop Loss,1,-11.53,-77.02,-11.53,611.24,2023-08-01,11.94,493.08,,493.08
2421,SNOWMAN,03-07-2023,Smallcap,Transportation,Completed,52.76,2023-08-01,49.83,2023-09-01,Stop Loss,1,-5.55,-49.58,-5.55,57.09,2023-09-01,10.56,49.83,,49.83
2422,OSWALGREEN,03-07-2023,Smallcap,Financials,Completed,26.4,2023-08-01,24.8,2023-09-01,Stop Loss,1,-6.06,-52.77,-6.06,30.15,2023-08-01,14.39,24.8,,24.8
2423,VEEDOL,03-07-2023,Smallcap,Chemicals,Completed,1093.58,2023-08-01,1090.21,2023-10-01,Stop Loss,2,-0.31,-1.84,-0.15,1195.66,2023-09-01,7.1,1090.21,,1090.21
2424,HMT,01-08-2023,Midcap,Industrials,Completed,31.0,2023-08-01,43.25,2024-03-01,Stop Loss,7,39.52,76.98,4.87,73.4,2024-02-01,13.71,43.25,,43.25
2425,JISLJALEQS,01-08-2023,Smallcap,Plastic products,Completed,62.9,2023-08-01,56.0,2023-10-01,Stop Loss,2,-10.97,-50.2,-5.64,69.8,2023-09-01,31.48,56.0,,56.0
2426,WHIRLPOOL,01-08-2023,Midcap,Consumer Discretionary,Completed,1618.3,2023-08-01,1614.83,2023-09-01,Stop Loss,1,-0.21,-2.54,-0.21,1692.29,2023-09-01,13.69,1614.83,,1614.83
2427,PILITA,01-08-2023,Smallcap,Plastic products,Completed,10.75,2023-08-01,8.7,2023-09-01,Stop Loss,1,-19.07,-92.11,-19.07,11.95,2023-08-01,20.93,8.7,,8.7
2428,RALLIS,01-08-2023,Midcap,Chemicals,Completed,231.35,2023-08-01,205.65,2023-09-01,Stop Loss,1,-11.11,-75.65,-11.11,237.39,2023-09-01,12.85,205.65,205.65,205.65
2429,CASTROLIND,01-08-2023,Midcap,Chemicals,Completed,128.98,2023-08-01,125.93,2023-09-01,Stop Loss,1,-2.36,-24.92,-2.36,147.25,2023-09-01,4.12,125.93,,125.93
