symbol,signal_date,market_cap,sector,status,entry_price,entry_date,exit_price,exit_date,exit_reason,months_held,total_return_percent,cagr_percent,cmgr_percent,max_high,max_high_date,drawdown_percent,stop_loss_price,target1_price,target2_price
BANARISUG,02-07-2012,Smallcap,FMCG,Completed,824.95,2012-08-01,827.9,2013-01-01,Stop Loss,5,0.36,0.86,0.07,965.88,2012-11-01,10.68,827.9,,827.9
CESC,02-07-2012,Largecap,Power & Utilities,Completed,18.52,2012-08-01,16.59,2012-10-01,Stop Loss,2,-10.39,-48.23,-5.34,20.93,2012-10-01,12.79,16.59,16.59,16.59
HINDPETRO,02-07-2012,Largecap,Energy,Completed,24.14,2012-08-01,24.89,2012-10-01,Stop Loss,2,3.11,20.18,1.54,27.97,2012-08-01,2.05,24.89,,24.89
GMBREW,02-07-2012,Smallcap,FMCG,Completed,25.62,2012-08-01,25.11,2013-01-01,Stop Loss,5,-2.0,-4.73,-0.4,35.56,2012-11-01,3.51,25.11,,25.11
VARDMNPOLY,02-07-2012,Smallcap,Textiles,Completed,6.05,2012-08-01,6.96,2012-11-01,Stop Loss,3,14.95,74.57,4.75,10.3,2012-10-01,5.04,6.96,,6.96
WILLAMAGOR,02-07-2012,Smallcap,Financials,Completed,48.95,2012-08-01,49.0,2012-10-01,Stop Loss,2,0.1,0.61,0.05,58.0,2012-08-01,3.88,49.0,,49.0
HERITGFOOD,02-07-2012,Smallcap,FMCG,Completed,28.85,2012-08-01,47.6,2013-02-01,Stop Loss,6,65.02,172.31,8.71,65.62,2013-01-01,32.22,47.6,,47.6
DCMSHRIRAM,02-07-2012,Midcap,Miscellaneous,Completed,45.38,2012-08-01,42.03,2012-09-01,Stop Loss,1,-7.37,-60.09,-7.37,47.68,2012-08-01,11.93,42.03,,42.03
TIPSMUSIC,02-07-2012,Midcap,Media,Completed,4.21,2012-08-01,4.87,2013-02-01,Stop Loss,6,15.58,33.59,2.44,6.98,2013-01-01,4.31,4.87,,4.87
MRPL,01-08-2012,Largecap,Energy,Completed,52.58,2012-08-01,51.86,2012-09-01,Stop Loss,1,-1.37,-15.3,-1.37,56.79,2012-08-01,10.83,51.86,,51.86
LMW,01-08-2012,Midcap,Industrials,Completed,1825.32,2012-08-01,1842.14,2013-02-01,Stop Loss,6,0.92,1.85,0.15,2152.48,2013-01-01,21.96,1842.14,,1842.14
RAJSREESUG,01-08-2012,Smallcap,FMCG,Completed,52.27,2012-08-01,53.89,2012-10-01,Stop Loss,2,3.1,20.09,1.54,61.64,2012-09-01,3.29,53.89,,53.89
VINDHYATEL,01-08-2012,Smallcap,Realty,Completed,182.67,2012-08-01,179.12,2012-11-01,Stop Loss,3,-1.95,-7.56,-0.65,213.32,2012-09-01,25.99,179.12,179.12,179.12
NEULANDLAB,01-08-2012,Midcap,Healthcare,Completed,104.74,2012-08-01,112.03,2012-12-01,Stop Loss,4,6.96,22.37,1.7,182.72,2012-11-01,18.5,112.03,112.03,112.03
UNITDSPR,01-08-2012,Largecap,FMCG,No Data,,,,,No Data,0,0.0,0.0,0.0,,,0.0,,,
NTPC,01-08-2012,Largecap,Power & Utilities,Completed,87.93,2012-08-01,86.78,2012-10-01,Stop Loss,2,-1.31,-7.63,-0.66,91.83,2012-09-01,7.05,86.78,,86.78
KCPSUGIND,01-08-2012,Smallcap,FMCG,Completed,14.97,2012-08-01,16.13,2013-02-01,Stop Loss,6,7.73,16.06,1.25,21.83,2012-11-01,1.89,16.13,,16.13
LIQUIDBEES,01-08-2012,Smallcap,Indices,Completed,628.2,2012-08-01,682.52,2014-07-01,End of Data,23,8.65,4.42,0.36,682.53,2014-07-01,100.0,,,
AEGISLOG,03-09-2012,Largecap,Services,No Data,,,,,No Data,0,0.0,0.0,0.0,,,0.0,,,
DHAMPURSUG,03-09-2012,Smallcap,FMCG,Completed,54.63,2012-10-01,48.87,2012-11-01,Stop Loss,1,-10.56,-73.79,-10.56,60.36,2012-10-01,15.62,48.87,,48.87
RELIANCE,03-09-2012,Largecap,Energy,Completed,168.65,2012-10-01,166.18,2012-11-01,Stop Loss,1,-1.46,-16.23,-1.46,180.48,2012-10-01,15.29,166.18,,166.18
TIRUMALCHM,03-09-2012,Smallcap,Chemicals,Completed,9.26,2012-10-01,8.93,2012-11-01,Stop Loss,1,-3.55,-35.19,-3.55,11.33,2012-10-01,10.78,8.93,,8.93
WSTCSTPAPR,03-09-2012,Smallcap,Building Materials,Completed,75.9,2012-10-01,72.79,2013-01-01,Stop Loss,3,-4.09,-15.4,-1.38,111.28,2012-12-01,28.93,72.79,,72.79
VOLTAS,03-09-2012,Largecap,Consumer Discretionary,Completed,100.72,2012-10-01,98.45,2012-11-01,Stop Loss,1,-2.26,-23.96,-2.26,115.72,2012-10-01,8.98,98.45,,98.45
GMBREW,03-09-2012,Smallcap,FMCG,Completed,27.88,2012-10-01,28.99,2012-12-01,Stop Loss,2,3.99,26.46,1.98,35.56,2012-11-01,7.92,28.99,,28.99
VARDMNPOLY,03-09-2012,Smallcap,Textiles,Completed,7.49,2012-10-01,6.96,2012-11-01,Stop Loss,1,-7.01,-58.22,-7.01,10.3,2012-10-01,18.3,6.96,,6.96
ASAHIINDIA,03-09-2012,Largecap,Building Materials,Completed,62.67,2012-10-01,57.22,2012-11-01,Stop Loss,1,-8.7,-66.47,-8.7,67.3,2012-10-01,15.39,57.22,,57.22
ONWARDTEC,03-09-2012,Smallcap,I.T,Completed,36.95,2012-10-01,34.31,2012-12-01,Stop Loss,2,-7.16,-35.96,-3.65,44.24,2012-10-01,9.39,34.31,,34.31
HIKAL,03-09-2012,Smallcap,Healthcare,Completed,55.67,2012-10-01,56.29,2013-01-01,Stop Loss,3,1.11,4.53,0.37,63.5,2012-12-01,9.55,56.29,,56.29
